ID,Y,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
NO0096,0,99,11,7,16,125,648,583,622,163,0,0,39,107,338,0,30,370,0.0323,243,111
NO0097,0,44,16,6,3,83,506,116,501,106,0,0,23,20,202,2,6,213,0.0185,2,2
NO0098,0,5,4,4,0,46,271,20,188,50,0,0,34,51,181,0,0,20,0,571,276
NO0099,0,33,7,5,3,119,860,106,586,132,0,0,21,83,179,1,0,210,0,172,172
NO0100,0,67,8,4,1,142,1296,78,576,165,1,1,24,128,220,1,0,282,0,54,46
NO0101,0,19,5,2,0,50,175,105,137,61,5,0,33,64,1113,0,0,1135,0,2658,2658
NO0102,0,3,9,4,0,68,417,93,332,75,0,0,23,32,442,0,6,447,0.0065,34,34
NO0103,1,390,116,33,16,279,3344,526,2092,345,1,1,21,151,1461,0,0,1507,0,344,343
NO0104,1,18,9,5,1,91,716,58,272,103,0,1,40,48,287,2,5,190,0.0169,346,110
NO0105,0,32,18,4,0,112,843,79,395,128,0,0,21,97,173,1,0,95,0,177,55
NO0106,0,5,0,0,0,36,93,88,88,40,0,0,21,38,222,2,0,234,0,101,84
NO0107,0,2,0,0,0,20,109,13,52,23,0,0,43,79,1701,2,22,218,0.0085,1003,310
NO0108,0,2,4,1,2,26,55,53,54,30,0,0,36,30,220,0,3,133,0.0086,57,44
NO0109,0,140,4,2,3,181,969,114,698,265,0,1,32,75,663,7,0,716,0,376,376
NO0110,0,71,51,20,2,164,768,118,536,214,1,0,21,42,160,1,0,322,0,129,20
NO0111,0,13,10,4,1,86,2109,62,354,89,0,0,24,41,517,5,6,534,0.0073,169,113
NO0112,0,1,1,1,0,12,37,30,31,14,0,0,40,30,603,0,0,654,0,,
NO0113,0,94,23,6,2,136,3104,106,835,187,2,0,21,79,1469,0,18,674,0.0078,781,190
NO0114,0,128,99,17,3,182,3415,164,1123,211,0,1,32,71,659,2,22,690,0.0115,1033,602
NO0115,0,115,5,4,1,146,649,115,623,191,2,0,36,64,165,0,0,54,0,77,77
NO0116,0,3,0,0,1,23,329,20,158,26,0,0,36,17,747,0,524,24,0.1018,451,451
NO0117,0,42,20,4,2,220,1270,100,959,242,0,0,21,35,2336,2,0,1837,0,2723,51
NO0118,0,34,17,3,1,116,1763,101,466,127,0,0,33,106,1684,1,37,172,0.0082,291,265
NO0119,0,6,3,3,0,21,71,14,49,28,0,0,21,20,275,2,0,30,0,69,59
NO0120,0,32,6,4,1,116,441,80,430,126,0,0,27,57,450,0,0,491,0,87,87
NO0121,0,37,32,5,1,127,2747,334,756,149,2,0,24,53,890,0,136,247,0.0144,1163,178
NO0122,0,7,1,1,1,37,171,73,164,44,0,0,33,45,973,0,0,1062,0,53,53
NO0123,0,65,5,2,0,205,9622,137,4344,235,0,0,33,53,175,0,19,40,0.0328,608,116
NO0124,0,0,0,0,0,7,15,2,3,7,0,0,25,18,224,0,147,55,0.0852,336,312
NO0125,0,31,5,3,0,133,4254,117,909,141,0,0,24,74,460,2,27,392,0.0293,1824,631
NO0126,0,6,0,0,0,36,111,97,97,40,6,0,22,38,514,1,0,270,0,24,24
NO0127,0,58,3,3,5,218,1253,89,917,239,0,0,30,45,1108,0,0,1149,0,36,36
NO0128,0,11,0,0,1,40,125,80,118,46,0,0,36,59,353,0,0,243,0,445,218
NO0129,0,27,0,0,0,82,398,133,326,92,0,0,23,58,174,2,0,183,0,18,5
NO0130,0,149,38,10,3,132,848,142,752,164,1,0,30,25,150,1,78,49,0.1047,1207,493
NO0131,0,13,2,1,0,59,135,35,108,63,1,0,22,50,117,1,0,111,0,118,118
NO0132,0,17,0,0,1,37,162,152,159,44,0,0,22,51,414,0,0,433,0,474,233
NO0133,0,4,2,2,0,41,332,32,141,45,0,0,28,30,389,0,0,406,0,2399,689
NO0134,0,14,16,3,1,37,321,35,91,49,0,0,32,28,1386,0,16,1466,0.0027,888,371
NO0135,0,51,19,3,1,112,4489,300,1074,130,0,0,24,43,155,2,0,150,0,262,138
NO0136,0,90,56,11,5,140,721,106,590,177,0,0,37,34,500,1,46,474,0.0385,,
NO0137,0,4,2,2,0,36,92,51,77,40,0,0,32,23,246,0,0,265,0,16,16
NO0138,0,4,1,1,0,38,69,37,69,42,0,0,29,39,416,1,0,237,0,99,99
NO0139,0,53,7,2,2,76,877,147,201,97,0,0,28,36,356,3,0,113,0,426,407
NO0140,0,9,1,1,0,55,229,178,218,61,0,1,28,47,278,2,0,78,0,141,104
NO0141,0,5,8,1,0,13,121,23,102,15,0,0,21,16,509,0,30,171,0.0212,93,78
NO0142,0,150,93,31,10,381,2065,232,1564,443,13,0,27,136,294,2,0,327,0,333,333
NO0143,0,107,21,12,6,226,1659,273,1210,259,1,1,24,111,301,0,10,313,0.0128,444,355
NO0144,0,25,4,4,1,35,80,80,80,60,2,0,42,62,317,3,0,12,0,1548,549
NO0145,0,6,0,0,0,20,44,31,44,25,0,0,34,43,93,1,0,97,0,51,51
NO0146,0,14,34,5,0,116,2910,97,876,123,1,0,32,43,67,0,10,59,0.0404,653,129
NO0147,0,57,6,1,0,196,2111,264,1405,221,5,0,20,45,346,4,0,354,0,16,16
NO0148,0,15,6,5,0,122,1310,65,507,128,0,0,27,28,582,3,66,170,0.0395,774,254
NO0149,0,0,0,0,0,16,84,29,34,16,0,0,21,45,312,1,5,26,0.0029,172,69
NO0150,0,39,1,1,0,168,556,89,483,175,0,0,25,63,914,0,0,939,0,154,154
NO0151,0,86,57,9,1,215,1773,177,799,234,1,0,28,133,711,3,0,365,0,422,257
NO0152,0,45,4,1,2,121,530,70,495,139,0,2,23,58,730,1,1,728,0.0013,81,81
NO0153,0,4,0,0,0,9,37,9,20,12,0,0,37,47,304,1,0,218,0,133,122
NO0154,1,340,93,58,27,626,3238,469,2427,812,1,1,36,74,458,1,62,473,0.0423,44,40
NO0155,0,16,2,2,1,53,198,68,189,63,0,0,39,35,204,3,23,47,0.0476,70,70
NO0156,0,2,0,0,0,16,65,10,40,16,0,0,45,16,625,0,0,508,0,153,87
NO0157,0,39,28,9,0,173,3688,161,1356,187,12,0,21,55,377,1,4,444,0.0045,1335,300
NO0158,0,69,7,6,0,114,361,100,342,142,0,0,24,60,434,0,0,449,0,224,224
NO0159,0,9,7,4,0,52,493,55,166,63,0,0,39,47,697,0,0,760,0,384,222
NO0160,0,143,35,10,9,177,2776,188,1073,216,1,0,21,52,665,2,0,672,0,444,444
NO0161,0,26,6,5,5,124,397,146,291,155,9,0,21,79,1206,0,0,106,0,968,947
NO0162,0,1,0,0,0,17,48,42,48,17,0,0,21,25,157,2,1,15,0.0058,648,229
NO0163,0,7,9,4,1,37,280,20,112,46,1,0,35,52,987,1,32,1033,0.0067,31,31
NO0164,0,9,2,2,0,12,37,28,36,14,0,0,38,27,631,1,40,652,0.0181,143,141
NO0165,0,57,2,2,2,69,645,94,260,90,2,0,26,38,878,2,9,921,0.0065,2518,162
NO0166,0,22,29,8,0,84,1405,41,299,94,0,0,21,18,256,4,31,93,0.0373,1377,140
NO0167,0,42,6,3,5,129,1106,173,598,158,0,0,31,46,372,4,0,409,0,687,629
NO0168,0,8,3,1,0,39,332,22,93,43,0,0,22,34,490,1,0,361,0,961,206
NO0169,0,18,0,0,0,28,82,81,81,38,0,0,21,42,183,2,0,197,0,316,239
NO0170,0,10,6,4,0,48,171,107,142,51,1,0,20,36,302,5,0,367,0,30,30
NO0171,0,0,0,0,0,19,87,17,52,19,0,0,39,82,663,0,0,452,0,303,144
NO0172,0,60,64,6,0,148,4489,114,767,161,0,0,21,63,155,3,8,19,0.0307,285,186
NO0173,0,12,5,3,1,61,1267,63,316,68,0,0,40,28,420,0,170,358,0.0744,40,30
NO0174,0,16,0,0,1,17,100,52,98,25,0,0,39,50,710,1,0,296,0,113,113
NO0175,0,6,14,2,1,60,1560,32,208,65,0,0,28,60,939,1,0,953,0,1236,647
NO0176,0,12,2,2,1,99,402,43,342,106,0,0,33,23,396,1,45,104,0.0462,567,419
NO0177,0,89,14,8,3,426,4018,155,1629,465,0,0,38,34,1400,0,42,651,0.011,159,159
NO0178,0,15,2,1,1,41,122,46,122,46,0,0,31,15,239,0,3,210,0.008,,
NO0179,0,129,16,5,4,90,1391,109,597,112,2,1,45,83,303,0,81,165,0.0977,1083,273
NO0180,0,1,0,0,0,5,13,11,13,6,0,0,25,40,254,0,11,95,0.0057,168,165
NO0181,0,20,1,1,0,66,436,117,294,67,0,0,22,60,315,0,0,336,0,32,32
NO0182,0,104,20,8,4,300,9097,207,1531,357,0,0,23,54,515,4,31,573,0.0175,4,4
NO0183,0,93,16,6,3,143,3720,59,418,162,0,1,21,97,567,2,242,55,0.0853,1116,71
NO0184,0,63,14,2,1,116,2534,88,519,138,0,0,21,97,388,1,98,408,0.0553,303,144
NO0185,0,18,2,2,1,45,103,102,102,59,0,0,32,35,749,1,0,105,0,1492,179
NO0186,0,0,0,0,0,2,2,1,1,2,0,0,33,41,110,3,0,121,0,25,25
NO0187,0,97,13,6,4,157,2855,222,1268,174,3,0,47,67,591,1,9,130,0.008,833,72
NO0188,0,0,0,0,0,6,18,18,18,6,0,1,25,44,151,2,4,91,0.0127,128,28
NO0189,0,4,1,1,0,18,168,17,70,22,7,0,41,16,926,1,2,355,0.0021,18,18
NO0190,0,63,7,4,2,137,3654,148,920,150,9,1,25,96,570,0,0,0,0,445,301
NO0191,0,36,34,5,0,82,987,81,308,92,0,0,42,69,1208,4,0,1268,0,825,639
NO0192,0,40,9,6,0,117,735,85,363,139,0,0,28,15,1394,0,399,2699,0.0176,560,469
NO0193,0,30,13,9,4,48,168,166,166,66,0,0,24,76,176,2,0,184,0,219,219
NO0194,0,0,0,0,1,4,10,3,8,4,0,0,34,41,614,1,95,56,0.0409,129,129
NO0195,0,5,1,1,0,13,44,25,42,15,0,1,27,72,182,1,0,186,0,253,169
NO0196,0,36,2,1,0,80,349,106,346,88,0,0,36,17,1665,0,0,1733,0,16,16
NO0197,0,0,0,0,0,5,14,5,6,5,0,0,23,28,111,0,0,38,0,132,30
NO0198,0,0,0,0,0,5,8,6,8,5,0,2,33,73,387,5,0,403,0,114,80
NO0199,0,27,7,4,0,48,252,160,248,69,0,0,31,42,142,1,216,186,0.2632,154,111
NO0200,0,198,46,10,7,267,5817,241,1879,302,2,0,27,163,1007,2,0,766,0,820,428
NO0201,0,0,0,0,0,3,245,10,60,3,0,1,24,23,848,1,44,885,0.0147,,
NO0202,0,91,6,4,8,142,950,80,487,179,0,0,36,85,222,2,0,206,0,118,67
NO0203,0,41,50,21,0,125,4947,103,468,153,3,0,28,16,286,2,26,299,0.0426,108,108
NO0204,0,3,3,3,1,9,18,17,17,13,0,0,36,35,760,0,0,797,0,333,190
NO0205,1,6,4,3,0,34,126,62,124,37,0,0,26,26,180,0,0,195,0,17,17
NO0206,0,162,42,14,2,195,2245,122,930,288,2,1,25,69,237,0,0,191,0,123,111
NO0207,0,27,3,3,0,92,630,73,446,103,1,0,30,54,99,5,2,101,0.0198,179,179
NO0208,0,1,0,0,0,7,249,6,20,8,0,0,34,30,699,2,115,697,0.0438,292,61
NO0209,0,2,1,1,2,40,194,15,114,43,0,0,33,51,190,2,0,185,0,183,183
NO0210,0,0,7,2,0,76,463,20,296,78,0,1,47,25,304,1,3,123,0.0095,292,292
NO0211,0,106,15,5,0,140,3985,182,883,184,1,2,34,56,447,1,0,438,0,223,223
NO0212,0,36,17,9,2,53,426,49,256,66,8,1,22,23,408,0,31820,443,0.6427,137,128
NO0213,0,7,0,0,0,76,352,23,234,82,0,0,30,13,336,0,34,347,0.0391,46,46
NO0214,0,1,0,0,0,19,36,12,31,23,0,0,25,37,495,0,102,518,0.0541,182,75
NO0215,0,13,1,1,0,26,75,73,75,35,0,0,35,110,266,1,0,98,0,505,266
NO0216,0,6,2,1,0,27,54,39,54,31,0,0,21,31,513,0,16,86,0.0181,24,24
NO0217,0,98,17,9,6,142,2242,140,530,192,0,0,22,110,191,3,0,159,0,1114,886
NO0218,0,27,11,5,0,228,3089,150,1181,238,0,2,25,204,760,3,90,813,0.0443,159,148
NO0219,0,2,0,0,0,26,73,56,65,27,0,1,25,59,287,5,0,297,0,117,117
NO0220,0,0,2,1,0,1,4,4,4,3,0,0,28,74,595,1,54,69,0.0405,,
NO0221,0,30,1,1,3,54,597,52,198,77,0,1,35,38,291,2,21,302,0.0265,288,287
NO0222,0,4,6,6,1,59,440,106,312,66,0,0,24,57,193,3,0,200,0,144,144
NO0223,0,74,6,4,1,140,2151,135,1226,169,2,0,24,83,740,3,0,747,0,233,197
NO0224,0,21,3,1,1,65,180,63,164,72,0,2,26,58,564,1,0,71,0,98,98
NO0225,0,30,11,7,1,54,244,133,228,67,0,0,24,72,240,1,0,168,0,65,65
NO0226,0,120,35,13,7,205,2235,233,1054,234,1,1,26,99,441,2,19,366,0.0061,1175,197
NO0227,0,185,11,6,1,258,1295,122,648,369,1,3,25,120,283,1,47,281,0.0386,71,55
NO0228,0,11,0,0,1,21,133,37,48,26,1,0,21,43,301,1,16,335,0.0179,238,71
NO0229,0,27,8,2,1,70,339,94,327,75,0,0,23,35,619,1,70,555,0.0202,414,360
NO0230,0,0,2,1,0,15,1090,182,478,16,0,0,29,45,458,2,21,419,0.0187,630,15
NO0231,0,4,0,0,0,67,99,83,96,71,0,0,21,22,228,2,0,267,0,34,34
NO0232,0,40,2,2,0,92,312,74,308,127,0,0,25,27,541,0,5,604,0.0033,120,120
NO0233,0,1,1,1,1,5,26,4,8,8,0,2,23,51,243,2,51,164,0.0696,348,51
NO0234,0,13,12,2,0,34,111,89,106,36,4,0,32,45,127,4,0,116,0,101,101
NO0235,0,17,1,1,1,131,271,69,184,141,0,,33,,,,,,,,
NO0236,0,48,6,0,2,123,2058,101,796,145,0,1,48,152,398,0,0,270,0,51,51
NO0237,0,15,4,3,1,100,580,87,474,104,0,0,24,22,210,1,0,226,0,88,88
NO0238,0,135,37,17,2,326,3352,347,1574,402,7,0,23,73,193,1,64,571,0.0163,645,645
NO0239,0,122,14,8,3,186,1116,165,742,245,0,0,31,56,335,1,0,299,0,33,33
NO0240,0,94,12,4,3,133,415,125,406,156,2,0,49,27,151,0,12,171,0.0174,127,82
NO0241,0,22,1,1,0,102,1739,55,427,108,0,1,31,57,428,0,0,437,0,822,166
NO0242,0,180,24,10,7,220,1571,159,1036,304,1,0,41,27,365,1,0,145,0,430,430
NO0243,0,12,13,3,0,68,2450,25,285,73,0,0,24,48,282,1,8,42,0.0153,1057,419
NO0244,0,19,5,1,0,84,327,74,318,88,0,0,35,31,738,2,0,793,0,513,513
NO0245,0,94,0,0,0,157,1795,160,1203,169,0,1,23,64,320,1,0,325,0,136,136
NO0246,0,52,35,12,3,129,1572,54,436,169,0,0,31,31,268,3,47,275,0.0727,142,86
NO0247,0,76,30,4,8,154,7250,314,1897,171,2,0,21,56,245,2,22,262,0.0573,462,189
NO0248,0,6,0,0,0,45,562,37,166,47,0,0,40,30,337,0,0,252,0,405,233
NO0249,0,8,8,0,0,15,1935,30,30,21,0,0,37,14,743,0,21,8,0.0112,68,16
NO0250,0,8,1,1,0,6,43,18,19,9,0,0,37,23,387,0,48,357,0.0352,779,73
NO0251,0,5,1,1,0,7,21,15,21,9,0,0,23,20,487,0,7,82,0.0079,49,49
NO0252,0,9,1,1,0,78,418,64,404,82,7,0,38,28,327,3,0,316,0,330,330
NO0253,0,3,1,1,0,22,47,47,47,25,5,1,29,58,258,1,43,194,0.0468,175,55
NO0254,0,122,14,8,3,186,1116,165,742,245,0,0,31,56,335,1,0,299,0,33,33
NO0255,0,10,0,0,0,40,123,40,60,49,0,0,27,25,314,0,0,308,0,568,193
NO0256,0,105,38,12,1,140,975,100,531,191,1,0,45,46,303,1,4,316,0.0095,2,2
NO0257,0,1,0,0,0,9,121,2,24,9,0,0,36,51,415,0,0,428,0,,
NO0258,0,3,0,0,0,49,193,54,146,50,4,0,30,38,920,5,0,969,0,158,158
NO0259,0,4,2,2,0,43,299,51,91,49,3,0,23,72,236,1,0,203,0,2,2
NO0260,0,5,3,1,1,20,170,20,32,23,0,0,40,74,443,0,0,445,0,19,14
NO0261,0,106,253,8,0,185,7608,295,2086,192,0,0,20,90,348,1,0,335,0,1024,552
NO0262,0,0,0,0,0,50,210,44,162,50,0,0,33,24,210,1,52,57,0.057,117,91
NO0263,0,5,0,0,1,19,826,61,318,24,7,1,42,47,643,0,0,614,0,231,48
NO0264,0,15,4,3,1,57,610,53,172,65,3,0,29,24,838,3,59,361,0.0239,686,199
NO0265,0,126,5,3,1,144,3173,91,642,181,2,1,25,98,524,1,0,30,0,1637,512
NO0266,0,2,6,2,1,130,1339,37,350,132,0,0,25,48,750,0,48,540,0.0237,93,93
NO0267,0,40,23,6,0,81,2013,85,649,95,1,1,32,90,424,0,5,73,0.0084,1416,128
NO0268,0,1,0,0,0,28,156,101,150,29,0,1,33,64,127,0,0,143,0,419,327
NO0269,0,12,2,2,0,81,222,76,206,87,0,0,33,38,804,0,91,96,0.0261,97,97
NO0270,0,9,2,1,0,98,3426,59,468,104,0,0,22,68,439,1,0,389,0,2952,980
NO0271,0,226,72,19,5,204,3421,298,1370,261,0,0,24,132,394,1,21,242,0.0211,55,55
NO0272,0,4,1,1,0,12,138,17,38,14,0,0,37,55,768,0,0,204,0,680,187
NO0273,0,1,2,2,1,56,4326,53,437,59,0,0,29,57,534,2,0,30,0,202,35
NO0274,0,31,4,3,0,93,2758,90,700,104,0,1,23,87,292,2,0,235,0,673,90
NO0275,0,1,0,0,1,14,187,12,107,16,0,0,29,44,251,0,0,184,0,650,448
NO0276,0,37,18,10,0,83,899,93,414,102,0,1,49,46,940,0,18,946,0.0104,2844,213
NO0277,0,27,5,5,0,116,687,118,413,123,0,1,30,55,278,2,2,91,0.0043,156,0
NO0278,0,2,0,0,1,18,121,18,41,21,1,0,25,34,388,0,6,139,0.0101,10,0
NO0279,0,202,89,16,6,282,3767,206,1266,348,0,0,32,52,889,0,0,978,0,279,170
NO0280,0,20,0,0,0,131,621,117,529,142,0,2,42,40,212,1,0,220,0,249,115
NO0281,0,15,0,0,0,37,307,51,174,50,0,0,35,19,336,0,16,262,0.0197,344,202
NO0282,0,134,45,11,8,125,1985,222,768,151,1,0,21,86,337,0,4,107,0.0029,750,151
