custid,low_volume_percent,middle_volume_percent,take_amount_in_later_12_month_highest,trans_amount_increase_rate_lately,trans_activity_month,trans_activity_day,transd_mcc,trans_days_interval_filter,trans_days_interval,regional_mobility,student_feature,repayment_capability,is_high_user,number_of_trans_from_2011,first_transaction_time,historical_trans_amount,historical_trans_day,rank_trad_1_month,trans_amount_3_month,avg_consume_less_12_valid_month,abs,top_trans_count_last_1_month,avg_price_last_12_month,avg_price_top_last_12_valid_month,reg_preference_for_trad,trans_top_time_last_1_month,trans_top_time_last_6_month,consume_top_time_last_1_month,consume_top_time_last_6_month,cross_consume_count_last_1_month,trans_fail_top_count_enum_last_1_month,trans_fail_top_count_enum_last_6_month,trans_fail_top_count_enum_last_12_month,consume_mini_time_last_1_month,max_cumulative_consume_later_1_month,max_consume_count_later_6_month,railway_consume_count_last_12_month,pawns_auctions_trusts_consume_last_1_month,pawns_auctions_trusts_consume_last_6_month,jewelry_consume_count_last_6_month,first_transaction_day,trans_day_last_12_month,apply_score,apply_credibility,query_org_count,query_finance_count,query_cash_count,query_sum_count,latest_query_time,latest_one_month_apply,latest_three_month_apply,latest_six_month_apply,loans_score,loans_credibility_behavior,loans_count,loans_settle_count,loans_overdue_count,loans_org_count_behavior,consfin_org_count_behavior,loans_cash_count,latest_one_month_loan,latest_three_month_loan,latest_six_month_loan,history_suc_fee,history_fail_fee,latest_one_month_suc,latest_one_month_fail,loans_long_time,loans_latest_time,loans_credit_limit,loans_credibility_limit,loans_org_count_current,loans_product_count,loans_max_limit,loans_avg_limit,consfin_credit_limit,consfin_credibility,consfin_org_count_current,consfin_product_count,consfin_max_limit,consfin_avg_limit,latest_query_day,loans_latest_day,status
321061,0.01,0.99,0,2.48,0.94,0.322,16,29,21,2,0,15010,0,29,20150814,244020,174,0.75,3420,5,3690,0.65,1310,0.45,1,2,29,3,46,0,1,3,7,285140,290,5,0,0,1400,0,1011,83,546,72,5,2,2,6,43215,4,5,5,501,78,19,10,3,11,7,4,1,1,6,11,19,1,0,319,43218,1500,77,4,5,1800,1325,9900,80,7,8,20400,7757,12,9,1
750939,0.01,0.99,500,0.72,0.63,0.45,17,15,11,1,1,14790,0,26,20141026,199850,193,0.45,36800,7,22850,0.3,1420,0.45,1,12,15,12,15,0,0,2,2,1066039,960,5,0,0,20950,0,1303,83,656,81,10,5,4,13,43196,0,4,11,637,75,32,32,0,11,3,8,0,1,9,34,3,1,0,360,43192,2800,73,8,9,3900,2450,8300,85,3,3,13200,9400,31,35,0
1169544,0,0.73,5000,0.09,0.7,0.697,28,12,13,4,1,129900,0,43,20130206,717280,497,0.1,82680,7,269120,0.05,1800,0.45,3,6,12,6,12,4,2,4,5,2,8900,15,0,10000,67530,0,1930,82,594,74,9,5,4,13,43189,0,7,10,575,77,32,28,2,17,7,10,5,7,10,34,6,2,3,352,43221,2000,74,10,10,3500,2000,19300,79,7,8,42000,16985,38,6,0
193188,0.01,0.79,0,1.24,1,0.447,16,19,13,1,0,31010,0,31,20150807,336460,302,0.7,47010,7,560,0.15,1360,0.5,1,19,19,19,19,0,3,3,4,36538,260,5,0,0,11820,0,1018,83,546,72,24,10,9,33,43214,10,13,21,511,76,44,42,2,20,5,15,3,5,21,52,14,5,0,342,43218,2300,75,15,17,9300,2240,5000,83,5,7,11400,5460,13,9,0
1780401,0.01,0.89,4000,0.07,1,0.233,17,32,18,4,0,13740,0,14,20161220,96840,91,0.3,10720,9,3030,0.15,1180,0.5,1,13,32,13,32,1,0,1,1,104054,2000,4,0,200,20120,0,517,82,611,73,7,5,1,7,43211,4,6,6,585,73,5,4,0,3,0,3,0,0,0,4,1,0,0,358,43034,1800,73,3,3,2000,1600,0,0,0,0,0,0,16,193,1
999803,0.01,0.99,0,1.13,0.76,0.48,20,16,17,4,0,22310,0,26,20150120,382850,246,0.5,27150,6,9540,0.65,1260,0.5,1,16,16,16,16,0,5,5,5,0,1530,4,0,0,27700,0,1217,83,538,77,12,5,6,14,43223,5,9,10,485,79,34,25,3,12,9,3,1,3,12,49,30,0,1,339,43200,3000,73,3,3,4100,2633,18400,79,9,11,33600,17633,4,27,1
203427,0.02,0.98,0,0.21,1,0.247,13,50,15,3,0,4580,0,27,20151203,653590,221,0.3,14300,8,17300,0.15,1260,0.5,4,6,21,6,21,0,2,8,8,33,3340,3,0,2870,7520,0,900,89,540,80,13,7,3,17,43224,6,11,16,541,74,36,27,2,9,4,5,1,5,18,44,31,0,1,356,43226,2800,72,5,5,4500,2480,21300,77,4,4,27600,9900,3,1,1
829745,0.02,0.98,300,0.6,0.43,0.355,19,19,14,4,1,6480,0,22,20131222,201360,189,0.5,7110,7,910,0.3,910,0.55,1,11,19,11,19,0,2,2,3,0,1040,2,0,1070,5420,0,1611,89,645,78,11,6,3,18,43218,2,8,14,615,77,31,27,0,16,8,8,1,2,8,35,10,3,0,360,43220,1700,74,8,9,2000,1575,4700,80,8,10,6600,4062,9,7,0
818730,0.01,0.99,2000,0.87,1,0.377,15,62,17,3,1,39920,0,17,20161018,94340,181,0.55,21660,6,33970,0.4,1080,0.55,4,12,20,12,20,0,1,5,12,0,1390,2,0,0,0,0,580,84,532,78,6,5,1,7,43201,1,3,6,494,74,28,21,2,10,4,6,0,1,12,24,23,0,0,307,43150,3500,74,6,6,5000,2533,10100,78,4,4,15600,10275,26,77,0
2318583,0.01,0.96,0,1.37,0.51,0.486,18,21,15,3,0,18710,0,29,20130613,296600,201,0.2,36640,8,640,0.05,1240,0.5,1,4,9,4,9,1,3,12,12,83595,2040,7,0,0,22780,0,1803,82,536,75,20,11,5,28,43215,7,14,17,484,75,96,72,9,29,8,21,0,3,37,92,90,0,0,360,43190,2300,74,21,22,6200,1957,10100,79,8,9,20400,8187,12,37,1
2770676,0.02,0.98,300,0.11,1,0.229,11,20,18,3,1,13690,0,8,20170721,46180,55,0.45,5650,5,3200,0.15,820,0.6,1,10,20,10,20,2,0,3,3,773711,1640,3,0,1190,17150,0,304,82,515,82,5,3,1,5,43224,3,4,5,489,75,7,3,4,2,1,1,0,1,2,6,18,0,0,346,43156,500,79,1,2,500,500,8400,74,1,1,8400,8400,3,71,1
2763960,0.02,0.98,0,0.43,0.66,0.369,15,72,41,3,0,16770,0,29,20140706,135500,161,0.55,16210,7,3290,0.15,670,0.65,1,10,72,10,72,0,0,5,5,0,1000,9,0,560,12310,0,1415,84,528,75,7,2,4,7,43220,1,1,4,499,73,26,25,3,11,2,9,1,1,3,28,12,1,0,348,43204,1600,73,9,9,2400,1633,16500,76,2,3,32400,18600,7,23,0
1272880,0,0.59,0,3.48,0.92,0.255,19,229,19,4,0,29010,0,36,20141223,1459540,228,0.1,85280,9,27980,0.1,3340,0.3,4,14,27,14,27,2,0,7,15,237,10050,4,0,0,0,0,1245,82,492,76,14,6,4,23,43220,13,16,19,471,77,40,30,2,21,11,10,3,5,14,39,22,2,2,350,43223,2700,74,10,10,9000,3080,21900,79,11,11,39600,20454,4,1,0
800080,0.01,0.99,2400,1.71,0.57,0.388,18,16,13,3,0,1900,0,24,20140916,169240,175,0.1,53760,8,6450,0.05,1080,0.5,3,10,13,10,13,2,1,3,4,4252,4900,4,0,840,6050,0,1343,82,597,80,12,4,5,16,43215,5,5,10,532,77,24,18,2,10,6,4,1,9,15,27,17,0,2,358,43218,2600,72,4,4,3500,1900,8100,80,6,7,14400,6100,12,9,0
654993,0.02,0.78,2500,1.9,0.83,0.336,23,20,15,3,1,15800,0,71,20110116,202730,311,0.3,30640,7,1890,0.3,1480,0.45,1,7,20,7,20,0,2,7,7,499325,2950,3,0,0,16580,0,2682,84,617,76,5,4,1,7,43213,2,3,6,587,73,6,5,0,5,3,2,0,0,3,11,7,0,0,349,43123,900,71,2,2,1000,750,14000,75,3,3,31200,15500,14,104,0
140303,0.4,0.6,0,1.46,0.69,0.375,9,23,23,3,0,9740,0,33,20140315,52040,277,0.65,5860,7,9090,0.65,150,0.9,4,0,23,0,23,0,0,2,7,2169,840,12,0,0,0,0,1528,93,519,82,10,6,3,16,43203,2,3,10,474,79,55,37,9,22,12,10,0,1,21,66,56,1,0,349,43142,1900,79,10,11,5000,1560,10400,78,12,14,42600,9841,21,82,1
148742,0.02,0.96,0,12.35,0.96,0.444,20,13,12,3,1,290,0,27,20151120,315770,269,0.1,46970,5,2000,0.05,940,0.55,1,4,13,4,13,3,1,2,3,155,4970,12,0,750,18750,0,913,82,531,74,5,4,1,5,43217,1,5,5,493,74,13,12,2,9,2,7,0,1,3,14,3,0,0,340,43147,1700,73,7,8,2500,1671,6500,77,2,2,8100,7050,10,80,0
713652,0.01,0.91,2000,46.9,0.69,0.263,19,42,42,3,1,4010,0,22,20150709,188420,125,0.25,45740,8,580,0.05,1490,0.55,3,10,11,10,11,0,1,1,5,167534,2180,9,0,2020,20780,0,1047,82,654,74,15,4,8,21,43207,7,12,16,636,76,38,37,0,18,13,5,7,14,21,46,2,9,0,301,43221,3000,74,5,5,5700,3160,7000,78,13,15,13200,6461,20,6,0
3051745,0.01,0.99,3000,0.91,0.93,0.305,21,17,14,3,1,17150,0,13,20170111,159920,113,0.55,30300,7,9310,0.4,1350,0.4,1,7,12,7,12,0,4,8,8,0,1300,4,0,1300,11390,0,495,82,543,71,10,6,3,16,43222,5,6,6,506,73,45,44,2,13,1,12,1,3,13,52,19,1,0,321,43218,1900,72,12,13,2700,1825,21600,78,1,1,21600,21600,5,9,0
1870891,0.02,0.64,1500,1.02,0.44,0.211,15,38,25,4,1,20380,0,31,20120520,150980,105,0.7,6300,8,9770,0.3,1340,0.4,1,22,38,22,38,0,2,2,4,100339,400,4,0,0,44110,0,2192,83,543,77,7,5,2,10,43204,0,3,6,630,80,13,10,0,2,1,1,0,4,6,11,8,0,0,313,43193,2000,81,1,2,2000,2000,3000,79,1,1,3000,3000,23,34,0
3009459,0.02,0.93,0,0.7,0.53,0.441,25,39,23,4,0,13600,0,26,20140211,235840,183,0.2,58330,8,18060,0.05,970,0.55,3,16,16,16,16,4,0,4,8,25,7430,7,0,1590,15970,0,1560,85,636,80,9,4,3,14,43072,0,0,3,609,75,27,27,0,14,8,6,0,1,14,45,6,0,0,345,43160,1000,71,6,6,1500,1050,9200,76,8,9,19800,8250,152,64,0
3832193,0.02,0.98,0,0.38,0.43,0.052,7,62,77,2,0,11130,0,12,20150913,60530,20,0.95,1540,3,520,1,1230,0.5,1,0,62,0,62,0,3,10,10,0,110,1,0,0,0,0,981,107,620,73,6,2,3,6,43214,2,5,6,575,76,3,2,0,2,1,1,0,0,2,3,2,0,0,230,43085,1700,71,1,1,1700,1700,18000,78,1,1,18000,18000,10,139,0
2812735,0.02,0.97,0,1.33,0.81,0.513,21,22,21,3,0,28960,0,21,20160109,334670,202,0.6,56050,7,2000,0.3,1100,0.5,1,9,22,9,22,0,1,6,6,7,1150,10,0,1150,23470,0,863,82,606,74,19,11,6,28,43205,2,13,16,572,76,60,55,3,21,8,13,1,3,18,70,19,1,0,335,43222,2100,76,13,14,2800,1892,37100,77,8,8,64800,14400,22,5,0
3269841,0.01,0.99,200,0.23,0.51,0.23,17,65,22,1,0,12260,0,20,20140802,93290,92,0.3,24050,6,4020,0.1,1000,0.55,1,7,14,7,14,1,0,2,2,1236,2620,6,0,1440,17600,0,1388,86,653,80,8,4,2,14,43214,4,4,7,629,78,14,12,0,7,5,2,0,0,5,32,2,1,0,337,43120,2100,77,2,2,2300,1950,12900,79,5,5,20700,10100,13,107,0
42311,0.01,0.98,0,1.77,0.93,0.688,21,8,5,3,0,14850,0,28,20150920,588190,437,0.1,93980,7,19710,0.05,1300,0.45,1,8,8,8,8,2,3,5,5,97,5820,6,0,4190,45490,0,974,82,513,76,17,10,5,24,43213,5,16,23,493,76,45,39,1,10,5,5,2,6,18,86,20,2,3,360,43220,2400,72,5,6,3400,2080,15800,80,5,6,21600,11280,14,7,0
286983,0.02,0.67,2000,0.89,0.69,0.454,19,10,10,4,0,9880,0,38,20130718,465410,255,1,33820,5,1920,1,1240,0.5,1,0,10,0,10,0,6,6,6,0,0,12,0,0,11610,0,1768,130,512,74,5,2,1,6,43204,2,2,5,483,75,64,44,11,16,6,10,0,4,25,83,132,0,0,358,43173,3300,70,10,10,6500,2520,8600,78,6,7,13200,7700,23,54,1
1926727,0.01,0.93,1500,1.7,0.55,0.25,21,24,17,4,0,6750,0,36,20120921,140630,147,0.3,17790,8,3040,0.1,1430,0.45,1,5,16,5,16,0,1,2,4,938,2150,5,0,760,3230,0,2068,86,640,79,5,4,1,6,43202,1,4,5,618,77,24,21,0,8,3,5,1,4,8,25,5,3,0,358,43219,2300,77,5,5,3100,2160,13500,77,3,3,27000,17500,22,5,0
3333452,0.04,0.96,200,0.9,1,0.247,16,26,23,3,0,10030,0,28,20151128,82420,139,0.75,12300,7,310,0.65,680,0.65,1,10,15,10,15,0,2,8,8,0,330,5,0,0,12960,0,905,94,528,77,5,3,2,5,43175,0,1,3,458,70,9,4,3,5,1,4,0,3,5,4,30,0,4,268,43192,900,72,4,5,1100,800,7200,67,1,1,7200,7200,52,35,1
2889679,0.04,0.96,0,0.27,1,0.292,12,51,15,2,0,7470,0,9,20170619,24580,79,0.4,15710,6,5890,0.4,940,0.5,3,14,22,14,22,1,1,2,2,0,2020,4,0,0,9140,0,336,84,637,76,10,4,4,11,43204,4,5,8,619,74,3,3,0,3,1,2,0,0,2,4,1,0,0,183,43097,1000,70,2,2,1400,950,10800,80,1,1,10800,10800,23,130,1
2714834,0,1,0,1.2,0.8,0.133,10,24,24,2,0,9010,0,12,20161202,49350,45,0.45,13360,7,1630,0.4,1470,0.45,1,13,18,13,18,0,1,2,2,0,1130,2,0,0,2020,0,535,84,523,75,11,7,2,22,43213,1,5,11,493,74,34,29,1,16,7,9,0,0,11,36,7,0,0,315,43101,2300,70,9,12,5000,1877,4500,79,7,7,7800,3871,11,123,0
2284803,0.01,0.98,0,0.83,0.67,0.609,21,11,11,3,0,32170,0,20,20150910,553920,213,0.15,130290,6,12470,0.05,1300,0.45,1,5,7,5,7,2,2,4,12,110242,3950,12,0,3250,46820,0,984,84,529,81,20,10,6,36,43226,10,21,27,490,77,97,86,4,30,12,18,0,5,34,116,39,3,0,352,43172,2300,77,18,20,4200,2066,18700,78,12,12,44400,13175,1,55,0
1966884,0.01,0.99,300,1.89,0.81,0.105,12,71,29,3,0,4410,0,25,20150812,31210,67,0.4,5290,7,5260,0.65,950,0.55,3,11,41,11,41,0,0,3,3,0,2760,1,0,0,4620,0,1013,95,520,72,12,9,1,15,43222,4,14,15,460,76,4,2,1,4,3,1,0,1,3,2,6,0,1,314,43163,500,66,1,2,500,500,8400,80,3,4,16800,8300,2,61,0
2467240,0.01,0.99,2000,0.94,1,0.527,16,28,17,1,0,22930,0,13,20170214,255730,192,0.2,73630,9,2150,0.05,1190,0.5,1,6,9,6,9,1,3,5,5,58389,2020,5,0,7560,55770,0,461,82,528,72,17,5,8,21,43204,2,7,12,483,76,79,71,5,28,9,19,1,2,27,80,30,1,1,353,43218,2100,74,19,21,3200,1700,8600,81,9,10,16800,6011,23,9,1
518031,0,0.92,6000,0.76,0.96,0.247,17,30,26,4,1,420,0,24,20160227,93890,177,0.45,13750,6,4650,0.65,1870,0.35,3,7,30,7,30,0,0,2,2,0,2610,2,0,0,13970,0,814,82,607,82,5,5,0,6,43207,2,4,6,579,84,3,0,0,3,3,0,0,0,0,0,3,0,0,353,42980,0,0,0,0,0,0,8500,84,3,3,12000,8333,17,244,0
2099848,0.02,0.98,4000,7.84,0.72,0.244,16,32,31,2,0,10030,0,13,20160923,66040,89,0.55,16350,7,7590,0.3,1240,0.65,1,11,27,11,27,0,3,3,3,13924,1270,6,0,0,12320,0,605,83,534,74,17,6,3,19,43209,9,12,14,494,80,43,30,5,16,4,12,0,1,17,35,34,0,0,330,43181,2000,80,12,14,2900,1716,16600,83,4,5,22800,6850,18,46,1
2963712,0.02,0.98,500,1.76,0.73,0.752,24,9,6,3,1,4490,0,36,20140217,320850,340,0.25,53780,7,4670,0.05,600,0.65,1,4,6,4,6,2,5,5,5,309,2360,10,0,2090,25540,0,1554,82,494,80,8,3,4,9,43187,0,4,7,469,76,105,71,14,14,5,9,12,22,48,179,105,0,42,351,43222,1500,73,9,9,2200,1377,7100,78,5,6,9600,7440,40,5,1
2904900,0.05,0.95,200,1.62,0.9,0.148,13,46,40,2,0,9360,0,9,20170203,16450,40,0.45,6530,4,2150,0.4,910,0.6,3,7,43,7,43,0,1,4,4,0,2610,1,0,0,6220,0,472,89,636,83,7,3,2,9,43203,2,4,6,605,71,3,3,0,2,1,1,0,1,2,8,0,0,0,296,43143,500,66,1,2,500,500,2400,78,1,1,2400,2400,24,84,0
2393648,0.06,0.94,0,0.47,0.53,0.241,11,31,30,2,0,12610,0,24,20140630,52250,108,0.4,16700,7,1240,0.15,600,0.65,1,10,14,10,14,1,2,5,5,0,1060,4,0,250,6070,0,1421,82,562,76,10,7,3,18,43214,2,7,16,509,76,42,27,9,12,6,6,3,12,28,48,71,3,7,322,43223,1500,69,6,7,2100,1416,5100,81,6,7,7800,4366,13,4,1
66760,0.02,0.98,1400,1.35,0.79,0.569,26,14,10,4,0,9800,0,48,20130227,463450,412,0.3,40770,8,0,0.1,1140,0.5,1,14,14,14,14,0,1,6,6,160,2000,8,0,1090,35870,0,1909,82,543,77,7,5,2,10,43204,0,3,6,494,76,19,18,0,7,3,3,0,0,4,34,0,0,0,360,43223,2100,74,3,3,2300,0,0,78,3,3,20400,0,23,4,1
1912040,0.01,0.99,900,0.17,0.48,0.455,20,21,20,4,1,5840,0,24,20140114,249770,207,0.65,10400,6,3340,0.4,1050,0.5,1,12,21,12,21,0,2,9,9,0,350,8,0,350,11780,0,1588,82,529,72,8,2,5,11,43167,0,2,2,487,74,70,61,10,17,4,13,0,2,5,73,52,0,0,360,43172,2000,73,13,13,3100,1761,6300,80,4,4,12900,6900,60,55,0
409706,0.01,0.96,700,0.25,0.93,0.536,19,30,17,2,1,12860,0,43,20140525,261450,362,0.35,33380,7,3680,0.15,1030,0.55,1,16,30,16,30,0,0,7,7,256881,3470,9,0,0,18890,0,1457,82,544,71,21,10,7,33,43204,7,13,15,503,75,74,68,11,24,9,15,0,1,17,94,44,0,0,353,43156,1800,75,15,17,4300,1760,9900,76,9,9,20400,5233,23,71,0
2973382,0.02,0.98,0,0.99,0.79,0.57,19,15,15,2,0,24490,0,11,20170103,310950,172,0.2,71440,6,1960,0.05,1230,0.5,1,9,9,9,9,1,2,5,5,1834,4060,6,0,0,28060,0,503,83,546,73,37,21,10,80,43226,21,59,71,514,76,87,84,2,27,6,21,7,17,42,92,8,7,0,341,43224,1800,75,21,23,3700,1690,9400,81,6,6,14400,7616,-2,0,0
1724393,0.01,0.99,0,0.11,0.71,0.28,17,37,15,2,0,5920,0,20,20151127,81230,117,0.5,30560,9,4400,0.4,1090,0.5,3,8,25,8,25,0,0,7,7,0,1010,9,0,0,7240,0,906,88,541,74,15,5,7,20,43204,2,5,18,479,77,28,20,2,16,5,11,0,0,12,22,19,0,1,331,43136,1800,74,11,12,2700,1545,6200,82,5,5,10200,6080,23,91,0
2490212,0,1,1000,2.29,0.95,0.172,11,27,27,2,1,10750,0,19,20160702,63040,76,0.7,11910,7,2670,0.65,1010,0.55,1,10,27,14,27,0,2,2,4,0,330,4,0,260,11750,0,688,95,636,85,4,3,0,4,43194,0,2,3,613,71,14,12,0,4,1,3,1,3,4,11,7,1,0,340,43222,2100,75,3,3,2800,1933,8400,65,1,1,8400,8400,33,5,0
1405209,0.02,0.98,2000,0.61,0.75,0.225,16,31,19,4,1,10470,0,33,20140716,100550,173,0.7,15110,5,1740,0.65,1130,0.4,1,15,31,15,31,0,0,1,1,0,500,4,0,0,14290,0,1405,83,645,77,14,6,5,20,43204,5,7,20,613,78,15,15,0,6,3,3,0,1,5,19,0,0,0,321,43143,3300,74,3,3,4100,2300,13100,83,3,3,15600,9000,23,84,0
710766,0.02,0.98,0,2.43,0.43,0.366,14,13,9,4,0,4400,0,22,20131004,146730,170,1,19300,4,1240,1,810,0.6,1,0,13,0,13,0,0,3,6,0,0,6,0,0,1990,0,1690,141,654,79,15,9,4,27,43219,10,14,23,636,78,31,31,0,7,3,4,1,2,11,55,5,2,0,348,43217,3600,75,4,4,4800,2300,21500,79,3,3,22800,12400,8,10,0
175466,0.02,0.98,0,1.39,1,0.214,17,17,16,2,0,15190,0,7,20170817,57540,45,0.55,15190,3,4000,0.2,1300,0.55,1,16,17,16,17,2,3,3,3,1958330,1120,3,0,0,12160,0,277,82,549,77,24,6,7,33,43221,17,22,29,511,76,16,12,3,12,5,7,0,1,4,15,10,0,0,347,43178,2200,73,7,7,3000,2071,5800,82,5,5,8400,4600,3,46,1
619049,0.03,0.94,300,34.34,1,0.497,17,15,11,3,0,10390,0,23,20160408,233710,237,0.2,38810,8,4400,0.05,980,0.55,1,5,15,5,17,2,1,5,5,518523,2430,5,0,1000,10330,0,773,82,554,74,32,15,10,50,43225,13,23,41,499,77,54,46,3,21,6,15,1,2,16,87,24,1,0,357,43207,1900,77,15,17,4600,1733,16700,79,6,6,20400,8366,2,20,0
2094169,0.02,0.98,700,1.23,0.76,0.227,17,36,24,2,0,13520,0,19,20160223,87280,94,0.45,19680,7,390,0.2,1080,0.5,1,11,14,11,14,0,0,2,2,0,1570,3,0,800,13880,0,818,85,543,77,7,5,2,10,43204,0,3,6,494,76,19,18,0,7,3,3,0,0,4,34,0,0,0,360,43223,2100,74,3,3,2300,0,0,78,3,3,20400,0,23,4,0
284497,0.04,0.88,0,2.08,1,0.222,14,21,19,2,0,3360,0,18,20160831,92540,98,0.4,17590,6,720,0.15,860,0.6,1,6,21,6,21,1,3,3,3,27366,2100,3,0,0,10160,0,628,85,546,63,1,0,1,1,43109,0,0,1,489,78,17,16,1,6,4,2,1,1,7,37,9,1,0,320,43205,800,70,2,2,1800,1150,9600,79,4,4,12600,8100,118,22,0
